satisfaction_level,satisfaction_level_tuned,last_evaluation,last_evaluation_tuned,number_project,number_project_tuned,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
0.38,0.38,0.53,0.71,2,4,157,3,0,1,0,sales,low
0.8,0.8,0.86,0.86,5,5,262,6,0,1,0,sales,medium
0.11,0.62,0.88,0.71,7,4,272,4,0,1,0,sales,medium
0.72,0.72,0.87,0.87,5,5,223,5,0,1,0,sales,low
0.37,0.62,0.52,0.71,2,4,159,3,0,1,0,sales,low
0.41,0.41,0.5,0.71,2,4,153,3,0,1,0,sales,low
0.1,0.62,0.77,0.77,6,4,247,4,0,1,0,sales,low
0.92,0.62,0.85,0.85,5,5,259,5,0,1,0,sales,low
0.89,0.62,1,0.71,5,5,224,5,0,1,0,sales,low
0.42,0.42,0.53,0.71,2,4,142,3,0,1,0,sales,low
0.45,0.45,0.54,0.71,2,4,135,3,0,1,0,sales,low
0.11,0.62,0.81,0.81,6,4,305,4,0,1,0,sales,low
0.84,0.84,0.92,0.71,4,4,234,5,0,1,0,sales,low
0.41,0.41,0.55,0.71,2,4,148,3,0,1,0,sales,low
0.36,0.62,0.56,0.56,2,4,137,3,0,1,0,sales,low
0.38,0.38,0.54,0.71,2,4,143,3,0,1,0,sales,low
0.45,0.45,0.47,0.71,2,4,160,3,0,1,0,sales,low
0.78,0.78,0.99,0.71,4,4,255,6,0,1,0,sales,low
0.45,0.45,0.51,0.71,2,4,160,3,1,1,1,sales,low
0.76,0.76,0.89,0.71,5,5,262,5,0,1,0,sales,low
0.11,0.62,0.83,0.83,6,4,282,4,0,1,0,sales,low
0.38,0.38,0.55,0.71,2,4,147,3,0,1,0,sales,low
0.09,0.62,0.95,0.71,6,4,304,4,0,1,0,sales,low
0.46,0.46,0.57,0.57,2,4,139,3,0,1,0,sales,low
0.4,0.4,0.53,0.71,2,4,158,3,0,1,0,sales,low
0.89,0.62,0.92,0.71,5,5,242,5,0,1,0,sales,low
0.82,0.82,0.87,0.87,4,4,239,5,0,1,0,sales,low
0.4,0.4,0.49,0.71,2,4,135,3,0,1,0,sales,low
0.41,0.41,0.46,0.71,2,4,128,3,0,1,0,accounting,low
0.38,0.38,0.5,0.71,2,4,132,3,0,1,0,accounting,low
